Lamina Clamp		Hand Application		C-Clamp		Flip Clamp		Lever Clamping		Alginment Pins		Top Clamping	
Mechanism	Multiplier	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted
Stackability	5	10	50	1	5	7	35	2	10	9	45	1	5
Even Pressure Disturbution	10	10	100	3	30	2	20	4	40	7	70	10	100
High Clamping Force	10	0	0	10	100	5	50	8	80	3	30	10	100
Ease of Use	6	9	54	3	18	8	48	9	54	8	48	4	24
Scalability	4	9	36	3	12	8	32	7	28	9	36	3	12
Ease of Manufacturing	8	9	72	8	64	4	32	7	56	3	24	6	48
Cost per unit	4	9	36	7	28	8	32	7	28	7	28	7	28
Totals		348		257		249		296		281		317	
Rank		1		5		6		3		4		2	
Continue		N/A		No		No		No		Develop		Develop	
