Mechanism		Roller		Dip Bed		Stamp		Screenprint		Dot Stencil		Spray		Brush/Squeegee		Sponge	
Scores	Multiplier	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted
Batch Size	3	5	15	5	15	4	12	4	12	4	12	6	18	5	15	5	15
Cycle Time	3	5	15	4	12	4	12	6	18	6	18	9	27	6	18	6	18
Predictable Application	5	6	30	3	15	9	45	8	40	6	30	2	10	3	15	3	15
Low-Tolerance Alignment	3	8	24	8	24	2	6	2	6	2	6	9	27	7	21	7	21
Low Blockage	7	5	35	5	35	8	56	8	56	7	49	1	7	2	14	2	14
Low Waste Production	2	2	4	6	12	1	2	1	2	7	14	9	18	4	8	4	8
Automation Difficulty	3	9	27	4	12	4	12	3	9	3	9	8	24	4	12	4	12
Size	3	5	15	5	15	4	12	4	12	4	12	4	12	3	9	3	9
Cost	2	6	12	4	8	2	4	2	4	3	6	7	14	5	10	5	10
Totals		177		148		161		159		156		157		122		122	
Rank		1		6		2		3		5		4		7		7	
Continue		Develop		No		Develop		No		No		No		No		No	,2,3,7,5,5
