Jig		Channel Slot		Vacuum Chuck		Slide Clips		Pull Mechanism 		Side Latches		Screw Clamping		Hand Feeding	
Scores	Multiplier	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted
Low Gluing Mechanism Interference	8	5	40	10	80	6	48	10	80	6	48	6	48	9	72
Low Lamina Application Interference	7	2	14	10	70	5	35	9	63	5	35	4	28	9	63
Reduced Module Wear	3	8	24	8	24	6	18	3	9	8	24	4	12	9	27
Easy Module Loading	7	8	56	10	70	6	42	8	56	7	49	3	21	1	7
Scure Hollding Mechanism	9	7	63	9	81	8	72	7	63	6	54	8	72	1	9
Scalability	4	10	40	2	8	5	20	7	28	6	24	9	36	1	4
Ease of Manufacturability	10	9	90	1	10	8	80	4	40	8	80	8	80	10	100
Cost per unit	6	9	54	1	6	7	42	4	24	7	42	8	48	10	60
Totals		381		349		357		363		356		345		342	
Rank		1		5		3		2		4		6		7	
Continue		Develop		No		Develop		Develop		No		No		No	
