Lamina		C-Clamp		Flip Clamp		Lever Clamping		Alginment Pins		Top Clamping		Hand Application	
Scores	Multiplier	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted
Stackability	5	1	5	7	35	2	10	9	45	1	5	10	50
Even Pressure Disturbution	10	3	30	2	20	4	40	7	70	10	100	10	100
High Clamping Force	10	10	100	5	50	8	80	3	30	10	100	1	10
Ease of Use	6	3	18	8	48	9	54	8	48	4	24	9	54
Scalability	4	3	12	8	32	7	28	9	36	3	12	9	36
Ease of Manufacturability	8	8	64	4	32	7	56	3	24	6	48	9	72
Cost per unit	4	7	28	8	32	7	28	7	28	7	28	9	36
Totals		257		249		296		281		317		358	
Rank		5		6		3		4		2		1	
Continue		No		No		No		Develop		Develop		Develop	
